date,category,turnover_millions
1988-01-01,"Clothing, footwear and personal accessory retailing",559.0
1988-02-01,"Clothing, footwear and personal accessory retailing",612.6
1988-03-01,"Clothing, footwear and personal accessory retailing",592.4
1988-04-01,"Clothing, footwear and personal accessory retailing",588.5
1988-05-01,"Clothing, footwear and personal accessory retailing",596.4
1988-06-01,"Clothing, footwear and personal accessory retailing",608.0
1988-07-01,"Clothing, footwear and personal accessory retailing",611.1
1988-08-01,"Clothing, footwear and personal accessory retailing",624.9
1988-09-01,"Clothing, footwear and personal accessory retailing",653.0
1988-10-01,"Clothing, footwear and personal accessory retailing",652.9
1988-11-01,"Clothing, footwear and personal accessory retailing",633.7
1988-12-01,"Clothing, footwear and personal accessory retailing",637.1
1989-01-01,"Clothing, footwear and personal accessory retailing",684.3
1989-02-01,"Clothing, footwear and personal accessory retailing",652.4
1989-03-01,"Clothing, footwear and personal accessory retailing",651.7
1989-04-01,"Clothing, footwear and personal accessory retailing",655.5
1989-05-01,"Clothing, footwear and personal accessory retailing",641.5
1989-06-01,"Clothing, footwear and personal accessory retailing",663.1
1989-07-01,"Clothing, footwear and personal accessory retailing",658.1
1989-08-01,"Clothing, footwear and personal accessory retailing",646.5
1989-09-01,"Clothing, footwear and personal accessory retailing",659.7
1989-10-01,"Clothing, footwear and personal accessory retailing",653.5
1989-11-01,"Clothing, footwear and personal accessory retailing",667.8
1989-12-01,"Clothing, footwear and personal accessory retailing",660.8
1990-01-01,"Clothing, footwear and personal accessory retailing",665.5
1990-02-01,"Clothing, footwear and personal accessory retailing",649.7
1990-03-01,"Clothing, footwear and personal accessory retailing",659.6
1990-04-01,"Clothing, footwear and personal accessory retailing",667.8
1990-05-01,"Clothing, footwear and personal accessory retailing",669.2
1990-06-01,"Clothing, footwear and personal accessory retailing",674.1
1990-07-01,"Clothing, footwear and personal accessory retailing",673.8
1990-08-01,"Clothing, footwear and personal accessory retailing",680.7
1990-09-01,"Clothing, footwear and personal accessory retailing",680.7
1990-10-01,"Clothing, footwear and personal accessory retailing",669.2
1990-11-01,"Clothing, footwear and personal accessory retailing",679.2
1990-12-01,"Clothing, footwear and personal accessory retailing",680.9
1991-01-01,"Clothing, footwear and personal accessory retailing",681.7
1991-02-01,"Clothing, footwear and personal accessory retailing",691.4
1991-03-01,"Clothing, footwear and personal accessory retailing",686.5
1991-04-01,"Clothing, footwear and personal accessory retailing",700.1
1991-05-01,"Clothing, footwear and personal accessory retailing",687.3
1991-06-01,"Clothing, footwear and personal accessory retailing",674.7
1991-07-01,"Clothing, footwear and personal accessory retailing",737.7
1991-08-01,"Clothing, footwear and personal accessory retailing",712.1
1991-09-01,"Clothing, footwear and personal accessory retailing",696.6
1991-10-01,"Clothing, footwear and personal accessory retailing",729.4
1991-11-01,"Clothing, footwear and personal accessory retailing",707.7
1991-12-01,"Clothing, footwear and personal accessory retailing",724.8
1992-01-01,"Clothing, footwear and personal accessory retailing",732.9
1992-02-01,"Clothing, footwear and personal accessory retailing",736.4
1992-03-01,"Clothing, footwear and personal accessory retailing",729.1
